Predicted,Actual,Date
1635.640381,1512.26001,2024-10-06
1933.311401,1879.060059,2024-10-07
2010.40271,1753.5,2024-10-08
1927.400024,1938.800049,2024-10-09
1724.487671,1551.040039,2024-10-10
1372.251221,1064.77002,2024-10-11
1118.331787,1038.569946,2024-10-12
1460.359863,1485.02002,2024-10-13
2016.893799,2447.080078,2024-10-14
2183.702637,2210.219971,2024-10-15
2088.831055,2059.810059,2024-10-16
1944.196411,1870.849976,2024-10-17
1496.02417,1429.22998,2024-10-18
1245.373657,1095.160034,2024-10-19
1551.819092,1571.209961,2024-10-20
2025.54541,2151.679932,2024-10-21
2138.503418,2015.969971,2024-10-22
2073.346191,1817.599976,2024-10-23
1992.647705,1890.680054,2024-10-24
1523.621338,1633.859985,2024-10-25
1342.9552,1171.359985,2024-10-26
1706.270264,1443.849976,2024-10-27
2062.212646,2118.23999,2024-10-28
2178.729736,2695.610107,2024-10-29
2100.26123,1763.0,2024-10-30
1919.555176,1876.0,2024-10-31
1597.880493,1674.569946,2024-11-01
1119.302734,1437.589966,2024-11-02
1430.965088,1973.170044,2024-11-03
2065.671631,2176.73999,2024-11-04
2222.229736,2284.27002,2024-11-05
2220.732666,2062.939941,2024-11-06
2031.513916,1963.77002,2024-11-07
1438.087158,1674.569946,2024-11-08
1125.203613,1437.589966,2024-11-09
1633.041748,1973.170044,2024-11-10
2137.009521,2176.73999,2024-11-11
2244.197266,2284.27002,2024-11-12
2015.626099,2062.939941,2024-11-13
1997.151855,1963.77002,2024-11-14
1436.372681,1674.569946,2024-11-15
1279.758789,1437.589966,2024-11-16
1858.779053,1973.170044,2024-11-17
2099.463379,2176.73999,2024-11-18
2178.5979,2284.27002,2024-11-19
1886.148926,2062.939941,2024-11-20
1255.243164,1963.77002,2024-11-21
693.804932,1674.569946,2024-11-22
596.828369,1437.589966,2024-11-23
1204.238525,1973.170044,2024-11-24
2025.732666,2176.73999,2024-11-25
2187.794678,2284.27002,2024-11-26
2023.475098,840.419983,2024-11-27
1508.043457,468.76001,2024-11-28
969.082397,860.26001,2024-11-29
999.961243,947.960022,2024-11-30
